Name of the painting,Style,Year,Period,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
A driade (Nude in the forest),Cubism,1908,African Period,1.6722,7.6362,203.8259,368.4079
A girl from Avignon,"Cubism, Naïve Art (Primitivism)",1907,African Period,1.8574,7.2683,92.7056,730.0777
Bather,Cubism,1908,African Period,1.8445,7.2876,129.8782,572.6089
Bathers in the forest,Analytical Cubism,1908,African Period,1.8627,7.7488,65.6404,260.8502
Bathing,Analytical Cubism,1908,African Period,1.7454,7.5101,241.6897,353.1183
Bread and dish with fruits on the table,Analytical Cubism,1909,African Period,1.7168,7.7903,137.5046,455.8207
Bust of nude woman,Expressionism,1906,African Period,1.8458,7.7906,1209.8755,986.8994
Bust of woman with flowers,Cubism,1909,African Period,1.6319,7.5091,322.4900,315.8941
Bust of woman,"Expressionism, Naïve Art (Primitivism)",1906,African Period,1.8862,6.9955,205.7742,431.1454
Bust of woman_2,"Expressionism, Naïve Art (Primitivism)",1907,African Period,1.8615,7.5335,107.6974,490.8807
Bust of young woman from Avignon,Cubism,1907,African Period,1.7525,7.4186,369.5354,306.3035
Carnival at the bistro,Cubism,1909,African Period,1.8859,7.3574,52.8003,311.8601
Composition with skull (study),Cubism,1907,African Period,1.7748,7.8052,172.9692,531.8868
Composition with skull,Cubism,1908,African Period,1.7136,7.6886,229.5783,414.4872
Dance of the Veils,Analytical Cubism,1907,African Period,1.7649,7.7182,502.8534,360.3231
Exotic Flowers,Expressionism,1907,African Period,1.6008,7.3173,170.7727,328.2395
Farm woman,"Cubism, Naïve Art (Primitivism)",1908,African Period,1.7138,7.5821,242.5739,382.0537
Farm woman_1,"Cubism, Naïve Art (Primitivism)",1908,African Period,1.4333,6.7986,197.4032,159.2771
Female bust,"Cubism, Naïve Art (Primitivism)",1907,African Period,1.7646,7.6366,204.8179,490.9708
Female nude (study),"Cubism, Naïve Art (Primitivism)",1907,African Period,1.8676,7.2438,66.2530,405.0353
Female nude in profile,Post-Impressionism,1906,African Period,1.8235,7.5666,107.2395,454.3221
Female nude with her arms raised,Naïve Art (Primitivism),1907,African Period,1.8188,7.0198,36.2228,343.9774
Female nude,Analytical Cubism,1908,African Period,1.5798,7.1815,304.0464,337.3093
Flowers in a Grey Jar,Cubism,1908,African Period,1.4600,6.7993,170.7185,214.5857
Flowers on the table,Cubism,1907,African Period,1.7158,7.4671,138.2772,427.0691
Friendship,Analytical Cubism,1908,African Period,1.7314,7.7178,217.0432,397.8657
Glass and fruits,Cubism,1908,African Period,1.4363,7.0071,270.1670,194.9658
Green Pan and Black Bottle,Cubism,1908,African Period,1.4844,6.8464,314.1283,224.0657
Harlequin's family_2,Analytical Cubism,1908,African Period,1.8109,7.5304,145.2965,354.7534
Head of a man,Naïve Art (Primitivism),1907,African Period,1.8345,7.3950,131.9587,451.6823
Head of a man_1,Cubism,1908,African Period,1.6472,7.4584,273.6182,314.9035
Head of a man_2,Cubism,1908,African Period,1.4968,7.1156,426.9019,242.9038
Head of a man_3,"Cubism, Naïve Art (Primitivism)",1908,African Period,1.5943,7.1693,416.9102,272.0130
Head of woman_1,Expressionism,1907,African Period,1.9168,6.8824,70.5342,319.4268
Head of woman_2,Cubism,1908,African Period,1.7366,7.3772,409.6030,333.1503
Head,Cubism,1908,African Period,1.7363,7.4889,265.2602,348.6833
House in a Garden,Cubism,1908,African Period,1.5418,6.8747,106.0965,243.8915
Jug and fruit dish,Analytical Cubism,1908,African Period,1.5895,7.0649,45.2089,163.0750
Marin and student,Post-Impressionism,1907,African Period,1.8825,5.5490,21.6860,311.0987
Nude (Bust),"Cubism, Naïve Art (Primitivism)",1907,African Period,1.8497,7.3561,129.3709,438.5278
Nude with Drapery (Study for The great dancer),"Cubism, Naïve Art (Primitivism)",1907,African Period,1.8137,7.4395,89.8760,481.7117
Nude with her hands pressed to each other,Post-Impressionism,1906,African Period,1.9398,7.2569,582.3090,1263.1997
Nude with Raised Arms (The Avignon Dancer),Cubism,1907,African Period,1.6976,7.5342,157.6069,359.0797
Nude with raised arms,Cubism,1907,African Period,1.8997,7.6382,302.0098,494.9977
Nude with towel,"Cubism, Naïve Art (Primitivism)",1907,African Period,1.6659,7.5185,130.7392,271.2472
Nude,Cubism,1909,African Period,1.7624,7.2515,116.2633,258.1505
Pitcher and Bowls,Cubism,1908,African Period,1.2836,6.6291,195.4550,139.8828
Portrait of Manuel Pallares,Cubism,1909,African Period,1.7817,7.7395,146.1917,517.3473
"Pot, Glass and Book",Cubism,1908,African Period,1.7120,7.5085,331.1281,420.9367
Queen Isabella,Cubism,1908,African Period,1.6387,7.2346,282.4235,353.1506
Reclining Nude,"Cubism, Expressionism",1908,African Period,1.5533,6.8744,209.1900,227.8161
Reclining Nude_1,"Cubism, Expressionism",1908,African Period,1.7685,7.6204,312.0970,368.5653
Seated female nude_2,Expressionism,1907,African Period,1.8794,5.4475,23.7848,311.4080
Seated nude and standing nude,Post-Impressionism,1906,African Period,1.8787,6.6070,30.7931,284.5241
Seated nude and standing nude_1,Expressionism,1906,African Period,1.7287,7.4125,344.4363,373.0192
Seated nude,Expressionism,1906,African Period,1.9186,6.0849,134.9025,1303.9370
Seated nude_1,Cubism,1908,African Period,1.6527,7.2208,314.1474,434.8517
