Period,Name of the painting,Fractal dimension,Entropy,Birkhoff measure,Euclidean distance
African Period,A driade (Nude in the forest),1.6722,7.6362,203.8259,368.4079
African Period,A girl from Avignon,1.8574,7.2683,92.7056,730.0777
African Period,Bather,1.8445,7.2876,129.8782,572.6089
African Period,Bathers in the forest,1.8627,7.7488,65.6404,260.8502
African Period,Bathing,1.7454,7.5101,241.6897,353.1183
African Period,Bread and dish with fruits on the table,1.7168,7.7903,137.5046,455.8207
African Period,Bust of nude woman,1.8458,7.7906,1209.8755,986.8994
African Period,Bust of woman with flowers,1.6319,7.5091,322.4900,315.8941
African Period,Bust of woman,1.8862,6.9955,205.7742,431.1454
African Period,Bust of woman_2,1.8615,7.5335,107.6974,490.8807
African Period,Bust of young woman from Avignon,1.7525,7.4186,369.5354,306.3035
African Period,Carnival at the bistro,1.8859,7.3574,52.8003,311.8601
African Period,Composition with skull (study),1.7748,7.8052,172.9692,531.8868
African Period,Composition with skull,1.7136,7.6886,229.5783,414.4872
African Period,Dance of the Veils,1.7649,7.7182,502.8534,360.3231
African Period,Exotic Flowers,1.6008,7.3173,170.7727,328.2395
African Period,Farm woman,1.7138,7.5821,242.5739,382.0537
African Period,Farm woman_1,1.4333,6.7986,197.4032,159.2771
African Period,Female bust,1.7646,7.6366,204.8179,490.9708
African Period,Female nude (study),1.8676,7.2438,66.2530,405.0353
African Period,Female nude in profile,1.8235,7.5666,107.2395,454.3221
African Period,Female nude with her arms raised,1.8188,7.0198,36.2228,343.9774
African Period,Female nude,1.5798,7.1815,304.0464,337.3093
African Period,Flowers in a Grey Jar,1.4600,6.7993,170.7185,214.5857
African Period,Flowers on the table,1.7158,7.4671,138.2772,427.0691
African Period,Friendship,1.7314,7.7178,217.0432,397.8657
African Period,Glass and fruits,1.4363,7.0071,270.1670,194.9658
African Period,Green Pan and Black Bottle,1.4844,6.8464,314.1283,224.0657
African Period,Harlequin's family_2,1.8109,7.5304,145.2965,354.7534
African Period,Head of a man,1.8345,7.3950,131.9587,451.6823
African Period,Head of a man_1,1.6472,7.4584,273.6182,314.9035
African Period,Head of a man_2,1.4968,7.1156,426.9019,242.9038
African Period,Head of a man_3,1.5943,7.1693,416.9102,272.0130
African Period,Head of woman_1,1.9168,6.8824,70.5342,319.4268
African Period,Head of woman_2,1.7366,7.3772,409.6030,333.1503
African Period,Head,1.7363,7.4889,265.2602,348.6833
African Period,House in a Garden,1.5418,6.8747,106.0965,243.8915
African Period,Jug and fruit dish,1.5895,7.0649,45.2089,163.0750
African Period,Marin and student,1.8825,5.5490,21.6860,311.0987
African Period,Nude (Bust),1.8497,7.3561,129.3709,438.5278
African Period,Nude with Drapery (Study for The great dancer),1.8137,7.4395,89.8760,481.7117
African Period,Nude with her hands pressed to each other,1.9398,7.2569,582.3090,1263.1997
African Period,Nude with Raised Arms (The Avignon Dancer),1.6976,7.5342,157.6069,359.0797
African Period,Nude with raised arms,1.8997,7.6382,302.0098,494.9977
African Period,Nude with towel,1.6659,7.5185,130.7392,271.2472
African Period,Nude,1.7624,7.2515,116.2633,258.1505
African Period,Pitcher and Bowls,1.2836,6.6291,195.4550,139.8828
African Period,Portrait of Manuel Pallares,1.7817,7.7395,146.1917,517.3473
African Period,"Pot, Glass and Book",1.7120,7.5085,331.1281,420.9367
African Period,Queen Isabella,1.6387,7.2346,282.4235,353.1506
African Period,Reclining Nude,1.5533,6.8744,209.1900,227.8161
African Period,Reclining Nude_1,1.7685,7.6204,312.0970,368.5653
African Period,Seated female nude_2,1.8794,5.4475,23.7848,311.4080
African Period,Seated nude and standing nude,1.8787,6.6070,30.7931,284.5241
African Period,Seated nude and standing nude_1,1.7287,7.4125,344.4363,373.0192
African Period,Seated nude,1.9186,6.0849,134.9025,1303.9370
African Period,Seated nude_1,1.6527,7.2208,314.1474,434.8517
African Period,Seated woman_1,1.5885,7.3775,211.8749,305.1649
African Period,Seated woman_2,1.8123,7.5986,255.9276,518.5724
African Period,Self-Portrait_10,1.8559,7.8982,515.9747,444.5275
African Period,Self-Portrait_8,1.8151,7.5678,310.3231,444.0680
African Period,Self-Portrait_9,1.8480,7.6387,416.0279,1177.8314
African Period,Standing female nude_1,1.6933,7.5107,367.4011,364.8334
African Period,Standing nude,1.4942,6.1544,119.8053,197.2964
African Period,Still life with lemons,1.7930,7.9466,306.4127,507.5338
African Period,Still life,1.5778,7.1865,193.0933,292.0373
African Period,The girls of Avignon (study),1.8935,7.6954,62.9653,313.2302
African Period,The girls of Avignon (study)_1,1.8268,7.3267,61.9345,339.8118
African Period,The Great Odalisque (after Ingres),1.7542,7.8086,71.6739,416.7620
African Period,Three women (Rhythmical version),1.8392,7.8841,69.1356,226.5637
African Period,Three women,1.5867,7.1783,272.9099,345.0942
African Period,Two naked women,1.8218,7.7525,301.8935,488.9965
African Period,Woman with a Fan_1,1.7270,7.6686,186.2942,496.8315
African Period,Woman with mandolin,1.7620,7.4388,353.1972,415.0407
African Period,Woman with yellow shirt,1.7511,7.6509,345.0686,386.4788
Blue Period,A blue vase,1.2748,6.7449,145.4699,169.3901
Blue Period,A parody of Manet's Olympia with Junyer and Picasso,1.9192,6.3654,109.3235,640.1410
Blue Period,A red skirt,1.4782,7.0232,305.7727,266.8915
Blue Period,A simple meal,1.9438,6.6063,110.3761,953.3261
Blue Period,Advertisement for 'Lecitina Agell',1.9220,6.1348,34.7390,228.7824
Blue Period,Angel Fernandez de Soto and his Friend,1.8740,7.5182,47.2326,489.1136
Blue Period,Angel Fernandez de Soto with woman,1.8531,6.2547,49.6389,719.1930
Blue Period,Ascet,1.7724,7.4714,954.3377,606.5213
Blue Period,Blind man and girl,1.9341,6.2011,158.2161,700.5513
Blue Period,Blue Nude,1.8021,7.7777,254.2614,250.6019
Blue Period,Boy with a Dog,1.9432,7.6456,678.7926,1135.7518
Blue Period,Breakfast of a Blind Man,1.5022,6.6942,537.2355,523.8767
Blue Period,Celestina,1.9027,6.9201,464.4984,472.8829
Blue Period,Celestina_1,1.3580,6.3300,81.9582,209.7528
Blue Period,Child with dove,1.8403,7.6692,428.2505,890.1073
Blue Period,Crossind Seine on the upper deck,1.7901,7.7420,557.6035,740.7816
Blue Period,Crouching beggar,1.7852,7.6958,130.1498,257.2383
Blue Period,Crouching woman,1.8381,7.6683,1307.2138,653.1477
Blue Period,Dawn at Riera de Sant Joan,1.6771,7.2969,156.9143,319.5338
Blue Period,Dinner time (Evocation of Horta d'Ebre),1.9479,7.0083,239.5971,835.6662
